candidate_key,priority_rank,sample_id,annotation_id,relative_path,shape_index,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,original_label,predicted_label,probability_5,probability_10,probability_25,probability_50,probability_100,predicted_confidence,probability_original_label,noisiness_ce,ambiguity_entropy,alc_phi
a52bce4962b1e23a4274ba69b41864b664c90df472cb0b5165b3885c06612577,1,13593,1-coins/50_1477290624.jpg::shape-0,1-coins/50_1477290624.jpg,0,361.38314566367217,398.59177875719735,428.9477895881263,466.15642268165146,50,5,0.9955533146858215,6.005640534567647e-05,0.0043866694904863834,4.442559387030087e-08,1.2635311463782273e-08,0.9955533146858215,4.442559387030087e-08,16.92945009506481,0.028837568061359845,16.90061252700345
0d9b7506d91c647085620ed35361463164069909eef1b4441e4ba749b0603610,2,5003,1-coins/115_1479350592.jpg::shape-1,1-coins/115_1479350592.jpg,1,201.5656428702804,218.65074925325916,277.03010181057056,294.1152081935493,10,5,0.9999949932098389,7.622610098678706e-08,4.832918421016075e-06,2.745542404536394e-10,9.838768119446381e-14,0.9999949932098389,7.622610098678706e-08,16.38956190026972,6.541737387473482e-05,16.389496482895844
daadbb4311299538b9a4c219a20c1548842f9dff3e71c716493a53b0e70e981b,3,13594,1-coins/50_1477290630.jpg::shape-0,1-coins/50_1477290630.jpg,0,484.6971167305592,379.7116094841824,550.8101296462522,445.82462239987547,50,5,0.9742137789726257,0.0006516413413919508,0.025132454931735992,5.510804044206452e-07,1.5165187505772337e-06,0.9742137789726257,5.510804044206452e-07,14.411385113901071,0.1228373660356736,14.288547747865397
4e2002e3b05a78d5836c47b8ab6480c5bc32349910e2e1ec732395142483e70c,4,5008,1-coins/115_1479350592.jpg::shape-6,1-coins/115_1479350592.jpg,6,321.00161190443083,396.06544169166494,384.1898774572713,459.2537072445054,5,10,6.521019713545684e-06,0.99403977394104,0.005953009240329266,6.695085517094412e-07,3.206877607908609e-08,0.99403977394104,6.521019713545684e-06,11.940479796471491,0.03653274079271604,11.903947055678776
617f35c0a82dea4b40c4650811bd132841238735da4cdbd11128e7d9598fcad1,5,12789,1-coins/45_1477835964.jpg::shape-4,1-coins/45_1477835964.jpg,4,230.74971923200587,295.2632327455194,295.62865914637246,360.142172659886,5,10,6.576180567208212e-06,0.9244449734687805,0.07554809004068375,2.221705983629363e-07,7.052837247556454e-08,0.9244449734687805,6.576180567208212e-06,11.93205644207031,0.2678486966772051,11.664207745393105
dbdfa41d169818735316fce1c1cf2cc6fa5bce3435a6fd42e1c3f1e51b1b5c04,6,1564,1-coins/100_1477860912.jpg::shape-10,1-coins/100_1477860912.jpg,10,145.8933285345297,401.87883578090646,210.25159900170215,466.2371062480789,5,10,4.586413342622109e-05,0.9940933585166931,0.005843359977006912,1.7462485629948787e-05,1.2322133313702466e-09,0.9940933585166931,4.586413342622109e-05,9.989827153191372,0.03658785483608927,9.953239298355284
bddf7662e44d806731b72292fd128f0f74db7d3e93320976c15035ae54db0aa7,7,1556,1-coins/100_1477860912.jpg::shape-2,1-coins/100_1477860912.jpg,2,512.2741495573417,72.60748289067504,581.55193739918,141.88527073251336,10,5,0.997105062007904,6.651012517977506e-05,0.0028283291030675173,2.5330303188297876e-08,1.1062007213014091e-11,0.997105062007904,6.651012517977506e-05,9.618156363550108,0.02012772252865799,9.59802864102145
b3e85043812cbfe6f68681826cce8a5872c98eb9fa25a5a410df773659557438,8,14750,1-coins/5_1477189344.jpg::shape-0,1-coins/5_1477189344.jpg,0,14.921810049827918,389.44561957363743,84.6019994739816,459.1258089977911,5,10,0.00016127005801536143,0.8669984340667725,0.1328291893005371,1.0887747521337587e-05,2.1757050205906125e-07,0.8669984340667725,0.00016127005801536143,8.732430219231347,0.3934135419304616,8.339016677300885
81f4dee9885025c8bc42d3321b635b5e3b5b2ad73f488e0f8f2235324c6a2d70,9,14749,1-coins/5_1477189338.jpg::shape-0,1-coins/5_1477189338.jpg,0,13.620545491002671,339.7788188722976,82.26434659532825,408.4226199766232,5,10,0.0002804397663567215,0.7165147662162781,0.2831929624080658,5.327648523234529e-06,6.585917617485393e-06,0.7165147662162781,0.0002804397663567215,8.179151592756929,0.5985756460436651,7.580575946713264
ab89509a097696d91d319fd4d0627155635f2d6ff5787e482df8f6ee454d70ea,10,11170,1-coins/25_1477192026.jpg::shape-0,1-coins/25_1477192026.jpg,0,54.56294068981248,378.8257144124402,137.78742427369116,462.0501979963189,25,10,3.3959913707803935e-06,0.998330295085907,0.001663036528043449,3.376930408194312e-06,2.6585927903610695e-10,0.998330295085907,0.001663036528043449,6.399110113863179,0.0123955797428547,6.386714534120324
bb4d5c5d3b741535d34e89443494ecd82e6a706de1e368acf267b23fb12c89c4,11,3401,1-coins/10_1477288884.jpg::shape-0,1-coins/10_1477288884.jpg,0,418.74822114935535,394.9963963318371,479.31017301122847,455.55834819371023,10,5,0.9820753931999207,0.0024973182007670403,0.014421984553337097,0.000989757478237152,1.5593106581945904e-05,0.9820753931999207,0.0024973182007670403,5.992537842576737,0.10088286839934364,5.891654974177393
8361b98232718280d65bd977a477b0a456986c2c6052d4bc5c638894f91ecbce,12,9010,1-coins/150_1479429534.jpg::shape-1,1-coins/150_1479429534.jpg,1,26.61480901107675,360.9431672200319,105.1549138034222,439.48327201237737,25,10,1.8946304862765828e-06,0.9962421655654907,0.0037558649200946093,1.1990144344053988e-07,5.628050248063232e-10,0.9962421655654907,0.0037558649200946093,5.584436682048911,0.024752042127337566,5.559684639921573
