candidate_key,source,item_a,item_b,reason,score,automatic_interpretation,manual_status,manual_action,notes
a52bce4962b1e23a4274ba69b41864b664c90df472cb0b5165b3885c06612577,alc_label_candidate,1-coins/50_1477290624.jpg,,original=50;predicted=5,16.90061252700345,manual_review_required,pending,,
0d9b7506d91c647085620ed35361463164069909eef1b4441e4ba749b0603610,alc_label_candidate,1-coins/115_1479350592.jpg,,original=10;predicted=5,16.389496482895844,manual_review_required,pending,,
daadbb4311299538b9a4c219a20c1548842f9dff3e71c716493a53b0e70e981b,alc_label_candidate,1-coins/50_1477290630.jpg,,original=50;predicted=5,14.288547747865396,manual_review_required,pending,,
4e2002e3b05a78d5836c47b8ab6480c5bc32349910e2e1ec732395142483e70c,alc_label_candidate,1-coins/115_1479350592.jpg,,original=5;predicted=10,11.903947055678776,manual_review_required,pending,,
617f35c0a82dea4b40c4650811bd132841238735da4cdbd11128e7d9598fcad1,alc_label_candidate,1-coins/45_1477835964.jpg,,original=5;predicted=10,11.664207745393105,manual_review_required,pending,,
dbdfa41d169818735316fce1c1cf2cc6fa5bce3435a6fd42e1c3f1e51b1b5c04,alc_label_candidate,1-coins/100_1477860912.jpg,,original=5;predicted=10,9.953239298355284,manual_review_required,pending,,
bddf7662e44d806731b72292fd128f0f74db7d3e93320976c15035ae54db0aa7,alc_label_candidate,1-coins/100_1477860912.jpg,,original=10;predicted=5,9.59802864102145,manual_review_required,pending,,
b3e85043812cbfe6f68681826cce8a5872c98eb9fa25a5a410df773659557438,alc_label_candidate,1-coins/5_1477189344.jpg,,original=5;predicted=10,8.339016677300885,manual_review_required,pending,,
81f4dee9885025c8bc42d3321b635b5e3b5b2ad73f488e0f8f2235324c6a2d70,alc_label_candidate,1-coins/5_1477189338.jpg,,original=5;predicted=10,7.580575946713264,manual_review_required,pending,,
ab89509a097696d91d319fd4d0627155635f2d6ff5787e482df8f6ee454d70ea,alc_label_candidate,1-coins/25_1477192026.jpg,,original=25;predicted=10,6.386714534120324,manual_review_required,pending,,
bb4d5c5d3b741535d34e89443494ecd82e6a706de1e368acf267b23fb12c89c4,alc_label_candidate,1-coins/10_1477288884.jpg,,original=10;predicted=5,5.891654974177393,manual_review_required,pending,,
8361b98232718280d65bd977a477b0a456986c2c6052d4bc5c638894f91ecbce,alc_label_candidate,1-coins/150_1479429534.jpg,,original=25;predicted=10,5.559684639921573,manual_review_required,pending,,
6e7b25cf3437aad1ff0784f475d6e04e35fb4588893e8e1a6861daebcad48d84,alc_label_candidate,1-coins/115_1479347616.jpg,,original=10;predicted=25,5.553006187809185,manual_review_required,pending,,
8f9d07effe1b50c3f247bbb002af81c5a71c353be4c8e3d576b8bead333d855c,alc_label_candidate,1-coins/5_1477189350.jpg,,original=5;predicted=25,5.524528500092302,manual_review_required,pending,,
f789ed23c14571542daf5d075cb7a946bfeeee329788005e95980f9fbf3fa296,alc_label_candidate,1-coins/25_1477191432.jpg,,original=25;predicted=10,5.417010609786106,manual_review_required,pending,,
4f9b1bbadd858fdd501d1a14bfbd9632dda7c5d7177f5d77b612f3a367fd3196,alc_label_candidate,1-coins/10_1477288890.jpg,,original=10;predicted=5,5.366783183265969,manual_review_required,pending,,
