annotation_relative_path,annotation_filename,annotation_stem,is_labelme,imagePath,imagePath_filename,n_shapes,labels,parse_error,matched_to_image
1-coins/100_1477154436.json,100_1477154436.json,100_1477154436,True,100_1477154436.jpg,100_1477154436.jpg,1,100,,True
1-coins/100_1477154442.json,100_1477154442.json,100_1477154442,True,100_1477154442.jpg,100_1477154442.jpg,1,100,,True
1-coins/100_1477154448.json,100_1477154448.json,100_1477154448,True,100_1477154448.jpg,100_1477154448.jpg,1,100,,True
1-coins/100_1477154454.json,100_1477154454.json,100_1477154454,True,100_1477154454.jpg,100_1477154454.jpg,1,100,,True
1-coins/100_1477154460.json,100_1477154460.json,100_1477154460,True,100_1477154460.jpg,100_1477154460.jpg,1,100,,True
1-coins/100_1477154466.json,100_1477154466.json,100_1477154466,True,100_1477154466.jpg,100_1477154466.jpg,1,100,,True
1-coins/100_1477154472.json,100_1477154472.json,100_1477154472,True,100_1477154472.jpg,100_1477154472.jpg,1,100,,True
1-coins/100_1477154478.json,100_1477154478.json,100_1477154478,True,100_1477154478.jpg,100_1477154478.jpg,1,100,,True
1-coins/100_1477154484.json,100_1477154484.json,100_1477154484,True,100_1477154484.jpg,100_1477154484.jpg,1,100,,True
1-coins/100_1477154490.json,100_1477154490.json,100_1477154490,True,100_1477154490.jpg,100_1477154490.jpg,1,100,,True
1-coins/100_1477154496.json,100_1477154496.json,100_1477154496,True,100_1477154496.jpg,100_1477154496.jpg,1,100,,True
1-coins/100_1477154502.json,100_1477154502.json,100_1477154502,True,100_1477154502.jpg,100_1477154502.jpg,1,100,,True
1-coins/100_1477154508.json,100_1477154508.json,100_1477154508,True,100_1477154508.jpg,100_1477154508.jpg,1,100,,True
1-coins/100_1477154514.json,100_1477154514.json,100_1477154514,True,100_1477154514.jpg,100_1477154514.jpg,1,100,,True
1-coins/100_1477154520.json,100_1477154520.json,100_1477154520,True,100_1477154520.jpg,100_1477154520.jpg,1,100,,True
1-coins/100_1477154526.json,100_1477154526.json,100_1477154526,True,100_1477154526.jpg,100_1477154526.jpg,1,100,,True
1-coins/100_1477154532.json,100_1477154532.json,100_1477154532,True,100_1477154532.jpg,100_1477154532.jpg,1,100,,True
1-coins/100_1477154538.json,100_1477154538.json,100_1477154538,True,100_1477154538.jpg,100_1477154538.jpg,1,100,,True
1-coins/100_1477154550.json,100_1477154550.json,100_1477154550,True,100_1477154550.jpg,100_1477154550.jpg,1,100,,True
